"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Mar 22 13:04:49 BRT 2023","Wed Mar 22 13:06:12 BRT 2023","82365","","EduSynch Challenge","","","","CEFR Reading Test with Certificate",""
"passed","Wed Mar 22 13:03:14 BRT 2023","Wed Mar 22 13:04:49 BRT 2023","95772","","EduSynch Challenge","","","","CEFR Reading Test",""
